NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Aréna Marcel-Bédard /Chalet du Fargy|5|653|Chutes, Boulevard des |Beauport|Pavillon de services et de loisirs
Centre sportif de Sainte-Foy|3|930|Roland-Beaudin, Avenue |Sainte-Foy|Centre communautaire
Bibliothèque municipale de Beauport|5|3095|Royal, Chemin |Beauport|Centre communautaire
Centre communautaire des Chutes|5|4551|Sainte-Anne, Boulevard |Beauport|Centre communautaire
Centre de loisirs du Petit-Village|5|2900|Loiret, Boulevard du |Beauport|Centre communautaire
Centre de loisirs Jean-Guyon|5|153|Sablonnières, Avenue des |Beauport|Centre communautaire
Centre de loisirs La Cavée|5|69|Juchereau, Avenue |Beauport|Centre communautaire
Centre de loisirs La Ribambelle|5|333|Perroteau, Rue |Beauport|Centre communautaire
Centre de loisirs La Sablière|5|156|Bertrand, Rue |Beauport|Centre communautaire
Centre de loisirs Odilon-Blanchette|5|49|Ruel, Avenue |Beauport|Centre communautaire
Centre de loisirs Pavillon Royal|5|3365|Royal, Chemin |Beauport|Centre communautaire
Centre de loisirs Ste-Gertrude|5|788|Cénacle, Avenue du |Beauport|Centre communautaire
Centre de loisirs Ulric-Turcotte|5|35|Vachon, Rue |Beauport|Centre communautaire
Centre Deblois|5|2130|École, Avenue de l' |Beauport|Centre communautaire
Centre municipal Mgr Laval|5|2|Fargy, Rue du |Beauport|Centre communautaire
Centre sportif Alexis-Bérubé|5|2175|Saint-Clément, Avenue |Beauport|Centre communautaire
Arpidrome|4|750|Sorbonne, Rue de la |Charlesbourg|Centre communautaire
Centre communautaire Bon Pasteur|4|425|Bienheureux-Jean-XXIII, Rue du |Charlesbourg|Centre communautaire
Centre culturel et communautaire de Charlesbourg|4|7575|Henri-Bourassa, Boulevard |Charlesbourg|Centre communautaire
Centre François-Borgia|4|7700|3e Est, Avenue |Charlesbourg|Centre communautaire
Salle paroissiale Pierre-Garon|4|7985|1re, Avenue |Charlesbourg|Centre communautaire
Centre communautaire Paul-Émile-Beaulieu|6|530|Delage, Rue |Lac-Saint-Charles|Centre communautaire
Édifice des Chevaliers de Colomb Lac St-Charles|6|1506|Lac-Saint-Charles, Avenue du |Lac-Saint-Charles|Centre communautaire
Centre Marc-Forrez|6|150|Étudiants, Boulevard des |Loretteville|Pavillon de services et de loisirs
Centre communautaire Claude-Allard|3|3200|D'Amours, Avenue |Sainte-Foy|Centre communautaire
