NOM|TYPE|VAL_PATRI|CLASSIF|STATUT|RELIGION|ARROND|QUARTIER|LONGITUDE|LATITUDE
Église Baptist|église||Non disponible|Recyclée|Protestant-Baptiste|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.212826|46.813860
Chapelle Holy Trinity|chapelle||Non disponible|Recyclée|Anglican|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.211600|46.813911
Église Wesleyan|église||Non disponible|Recyclée|Protestant-Méthodiste|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.211204|46.812897
Chapelle des Jésuites|chapelle||Non disponible|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.212106|46.812318
Église de Notre-Dame-du-Chemin|église||Non disponible|Démolie|Catholique Romain|La Cité-Limoilou|Montcalm|-71.229742|46.804005
Église de Notre-Dame-de-Vanier|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Les Rivières|Vanier|-71.258320|46.816532
Église de Saint-Eugène|église||Non disponible|Recyclée|Catholique Romain|Les Rivières|Vanier|-71.265199|46.812890
Église de Notre-Dame-de-Foy|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Cité Universitaire|-71.302376|46.777518
Église de Saint-Denys-du-Plateau|église|Valeur patrimoniale élevée|Non disponible|Recyclée|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Saint-Louis|-71.294606|46.769766
Église de Sainte-Geneviève|église|Valeur patrimoniale significative|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Plateau|-71.318436|46.776177
Église de Saint-Benoît-Abbé|église|Valeur patrimoniale significative|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Pointe-de-Sainte-Foy|-71.324408|46.767395
Église de Saint-Jean-Baptiste-de-La-Salle|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Cité Universitaire|-71.293863|46.786111
Église de Saint-Charles-Garnier|église|Valeur patrimoniale élevée|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Sillery|-71.251158|46.786274
Église de Saint-Michel-de-Sillery|église|Valeur patrimoniale élevée|Supérieure|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Sillery|-71.244520|46.774493
Église de Sainte-Ursule|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Saint-Louis|-71.310113|46.755713
