Aréna Marcel-Bédard /Chalet du Fargy|5|653|Chutes, Boulevard des |Beauport|Pavillon de services et de loisirsCentre d'interprétation Camping municipal Beauport|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs|46.8970061|-71.178002
Maison des jeunes L'Échouerie|5|90|Renardière, Rue de la |Beauport|Centre communautaire|46.8873912|-71.1615812
Chalet Parc des Écores|3|4001|Charles-A.-Roy, Rue |Cap-Rouge|Pavillon de services et de loisirs|46.7617929|-71.3515329
Chalet Parc du Plateau|3|4575|Promenade-des-Soeurs, Rue de la |Cap-Rouge|Pavillon de services et de loisirs|46.7474988|-71.366971
Chalet Parc Provancher|3|4170|Michel-Hervé, Rue |Cap-Rouge|Pavillon de services et de loisirs|46.750859|-71.342103
Bloc sanitaire Parc Cartier-Roberval|3|4075|Saint-Louis, Chemin |Cap-Rouge|Pavillon de services et de loisirs|46.7499317|-71.3399007
Toilettes Parc des Potiers|3|4333|Bégin, Rue|Cap-Rouge|Bâtiment accessoire|46.7496702|-71.3507017
Chalet Bon-Pasteur|4|395|Bienheureux-Jean-XXIII, Rue du |Charlesbourg|Pavillon de services et de loisirs|46.9001818|-71.307559
Chalet Bourg-Royal|4|1435|Louis-XIV, Boulevard |Charlesbourg|Pavillon de services et de loisirs|46.8788122|-71.2475281
Chalet Chabot|4|1641|Colmar, Avenue de |Charlesbourg|Pavillon de services et de loisirs|46.8774548|-71.2712106
Pavillon piscine Parc Guillaume-Mathieu|4|720|Gironde, Avenue de |Charlesbourg|Pavillon de services et de loisirs|46.8720475|-71.2669765
Chalet Parc Guillaume-Mathieu|4|720|Gironde, Avenue de |Charlesbourg|Pavillon de services et de loisirs|46.8720475|-71.2669765
Chalet l'Amibourg|4|617|Hélène-Paradis, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.8713019|-71.2658413
Chalet Parc Henri-Casault|4|5395|4e Ouest, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.8456251|-71.2622932
Chalet Parc Lyonnais|4|1158|Lyonnais, Rue du |Charlesbourg|Pavillon de services et de loisirs|46.8711196|-71.2809288
Chalet du Plateau|4|8815|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.8634744|-71.2821964
Chalet La Planque|4|8805|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.862583|-71.2794548
Chalet piscine Parc Maurice-Dorion|4|8805|Jean-Paquin, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.862583|-71.2794548
Centre récréatif St-Rodrigue|4|4840|Loisirs, Avenue des |Charlesbourg|Centre communautaire|46.8472711|-71.2519254
Chalet Edouard-Laurent|4|4725|Loisirs, Avenue des |Charlesbourg|Pavillon de services et de loisirs|46.84611|-71.2508731
Chalet piscine Parc Maurice-Lortie|4|4720|Loisirs, Avenue des |Charlesbourg|Pavillon de services et de loisirs|46.8461243|-71.2508426
Chalet Parc Notre-Dame-des-Laurentides|4|55|Moïse-Verret, Rue |Charlesbourg|Pavillon de services et de loisirs|46.9105483|-71.3409433
Chalet piscines Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8562776|-71.2520078
Chalet Parc Maria-Goretti|4|7475|Paul-Comtois, Avenue |Charlesbourg|Centre communautaire|46.8550669|-71.271948
Pavillon piscine Parc Maria-Goretti|4|7475|Paul-Comtois, Avenue |Charlesbourg|Pavillon de services et de loisirs|46.8550669|-71.271948
Chalet Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8562776|-71.2520078
Chalet Parc St-Pierre|4|5485|Platanes, Avenue des |Charlesbourg|Pavillon de services et de loisirs|46.8843792|-71.283251
Pavillon du Jardin|4|5295|Violettes, Rue des |Charlesbourg|Pavillon de services et de loisirs|46.8834937|-71.28408
